Timestamp,Teacher Name,Student Academic Year,Student Department,Have you noticed the student struggling more than usual with coursework? ,  Does the student appear quieter or more withdrawn compared to before while behaving with peers?  ,  Has the student reduced communication with you or avoiding your messages?  ,"Does the student appear stressed, or irritated?  ",  Have you noticed anxiety or overthinking in their behavior ? ,"  How often does the student initiate conversations, ask questions, or seek help when needed during class activities?  ","How well does the student balance participation in different activities (sports, cultural, social)?",  Does the student frequently ask for deadline extensions or extra time?  ,How consistent is the student in completing the work or assignments ? , How enthusiastic is the student towards learning new things?,How much do you rate the student presentation in terms of confidence,Student Regd No.,Column 15
3/11/2026 15:39:00,Mrs. P. Naga Mani,IV,Data Science,Never,Never,Never,Never,Very Often,Sometimes,Sometimes,Never,,5,5,22501A4427,
3/11/2026 15:40:39,Mrs. P. Naga Mani,IV,Data Science,Never,Never,Never,Rarely,Very Often,Never,Never,Never,,5,5,22501A4428,
3/11/2026 15:42:25,Mrs. P. Naga Mani,IV,Data Science,Very Often,Very Often,Never,Never,Very Often,Sometimes,Sometimes,Never,,5,5,22501A4429,
3/11/2026 15:44:25,Mrs. P. Naga Mani,IV,Data Science,Sometimes,Sometimes,Very Often,Rarely,Very Often,Never,Never,Very Often,,3,3,22501A4430,
3/11/2026 15:46:08,Mrs. P. Naga Mani,IV,Data Science,Sometimes,Sometimes,Very Often,Sometimes,Very Often,Very Often,Never,Very Often,,2,2,22501A4431,
3/11/2026 15:47:42,Mrs. P. Naga Mani,IV,Data Science,Sometimes,Sometimes,Rarely,Sometimes,Very Often,Very Often,Never,Never,,2,2,22501A4432,
3/11/2026 15:49:26,Mrs. P. Naga Mani,IV,Data Science,Sometimes,Sometimes,Never,Sometimes,Very Often,Sometimes,Never,Very Often,,3,3,22501A4433,
3/11/2026 15:58:54,Mrs. P. Naga Mani,IV,Data Science,Never,Never,Never,Never,Never,Never,Never,Never,,5,5,22501A4434,
3/11/2026 16:02:39,Priyanka.A ,III,Data Science,Never,Never,Very Often,Rarely,Never,Often,Rarely,Never,,5,5,24505A4405,
3/11/2026 16:04:24,Priyanka.A ,III,Data Science,Never,Often,Sometimes,Never,Never,Often,Rarely,Never,,5,4,24505A4406,
3/12/2026 12:11:17,Mrs.P.Naga Mani,IV,Data Science,Never,Never,Never,Never,Never,Sometimes,Never,Never,,5,5,22501A4434,
3/12/2026 12:12:37,Mrs.P.Naga Mani,IV,Data Science,Never,Never,Never,Never,Never,Sometimes,Never,Never,,5,5,22501A4435,
3/12/2026 12:13:51,Mrs.P. Naga Mani,IV,Data Science,Never,Never,Never,Never,Never,Sometimes,Never,Never,,5,5,22501A4436,
3/12/2026 12:14:59,Mrs.P. Naga Mani,IV,Data Science,Never,Never,Never,Never,Never,Sometimes,Never,Never,,5,5,22501A4436,
3/12/2026 12:16:01,Mrs.P.Naga Mani,IV,Data Science,Never,Never,Never,Never,Never,Never,Sometimes,Never,,5,5,22501A4455,
3/12/2026 12:17:21,Mrs.P.Naga mani,IV,Data Science,Never,Never,Never,Never,Never,Never,Never,Never,,5,5,22501A4456,
3/12/2026 12:18:58,Mrs.P.Nagamani,IV,Data Science,Never,Very Often,Very Often,Sometimes,Never,Very Often,Never,Never,,4,4,22501A4457,
3/12/2026 12:19:54,Mrs.P.Naga Mani,IV,Data Science,Never,Never,Never,Never,Never,Never,Never,Never,,5,5,22501A4458,
3/12/2026 12:20:49,Mrs.P.Naga Mani,IV,Data Science,Never,Never,Never,Never,Never,Never,Never,Never,,5,5,22501A4459,
3/12/2026 12:22:05,Mrs. P.Naga Mani,IV,Data Science,Never,Never,Never,Never,Never,Never,Never,Never,,5,5,22501A4460,
3/13/2026 13:44:01,Mrs.P.Naga Mani,IV,Data Science,Never,Never,Never,Never,Never,Never,Never,Never,,5,5,22501A4461,
3/13/2026 13:44:52,Mrs.P.Naga Mani,IV,Data Science,Never,Never,Never,Never,Never,Never,Never,Never,,5,5,22501A4462,
3/13/2026 13:46:06,Mrs.P.Naga Mani,IV,Data Science,Never,Never,Never,Never,Never,Never,Never,Never,,4,4,22501A4463,
3/13/2026 13:47:06,Mrs.P. Naga Mani ,IV,Data Science,Never,Never,Never,Never,Never,Never,Never,Never,,5,5,22501A4464,
3/13/2026 13:48:02,Mrs.P.Naga Mani,IV,Data Science,Never,Never,Never,Never,Never,Never,Never,Never,,5,5,22501A4465,
3/13/2026 13:49:25,Mrs.P.Naga Mani,IV,Data Science,Never,Never,Never,Never,Never,Never,Never,Never,,5,5,22501A4466,
3/13/2026 13:50:40,Mrs.P.Naga Mani,IV,Data Science,Never,Sometimes,Sometimes,Sometimes,Sometimes,Very Often,Very Often,Never,,4,4,23505A4401,
3/16/2026 11:15:17,Mrs. P. Naga Mani,IV,Data Science,Never,Never,Never,Never,Never,Never,Never,Never,,5,5,22501A4466,
3/16/2026 11:16:25,Mrs. P. Naga Mani,IV,Data Science,Very Often,Never,Never,Often,Never,Never,Never,Never,,3,3,23501A4401,
3/16/2026 11:17:39,Mrs .P. Naga Mani,IV,Data Science,Very Often,Very Often,Never,Never,Never,Never,Never,Never,,4,4,23505A4402,
3/16/2026 11:18:55,Mrs. P. Naga Mani,IV,Data Science,Very Often,Very Often,Never,Never,Never,Never,Sometimes,Never,,3,3,23505A4403,
3/16/2026 11:19:42,Mrs. P .Naga Mani,IV,Data Science,Never,Never,Never,Never,Never,Never,Never,Never,,3,3,23505A4404,
3/16/2026 11:20:45,Mrs .P. Naga Mani,IV,Data Science,Never,Never,Never,Never,Never,Never,Never,Never,,4,4,23505A4405,
3/16/2026 11:21:30,Mrs. P. Naga Mani,IV,Data Science,Never,Never,Never,Never,Never,Never,Never,Never,,3,3,23505A4406,
3/16/2026 13:28:55,Gayatri Gamini,III,AIML,Very Often,Rarely,Rarely,Never,Rarely,Often,Often,Never,,5,4,23501A4251,
3/16/2026 13:34:17,Gayatri,III,AIML,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Often,Rarely,,4,4,23501A4252,
3/16/2026 13:45:03,P.HEMA VENKATA RAMANA,II,Data Science,Sometimes,Sometimes,Never,Never,Sometimes,Often,Often,Never,,5,5,24501A4401,
3/16/2026 13:49:17,P.HEMA VENKATA RAMANA,II,Data Science,Sometimes,Rarely,Never,Sometimes,Rarely,Often,Rarely,Sometimes,,4,3,24501A4402,
3/16/2026 13:51:15,P.HEMA VENKATA RAMANA,II,Data Science,Often,Often,Never,Sometimes,Often,Often,Never,Sometimes,,3,3,24501A04403,
3/16/2026 13:53:03,P.HEMA VENKATA RAMANA,II,Data Science,Often,Often,Rarely,Rarely,Often,Sometimes,Sometimes,Sometimes,,3,3,24501A4405,
3/16/2026 13:54:41,P.HEMA VENKATA RAMANA,II,Data Science,Never,Never,Never,Never,Never,Often,Rarely,Never,,5,5,24501A4406,
3/16/2026 13:57:53,P.HEMA VENKATA RAMANA,II,Data Science,Never,Never,Rarely,Never,Never,Often,Rarely,Rarely,,5,5,24501A4407,
3/16/2026 14:02:37,P.HEMA VENKATA RAMANA,II,Data Science,Rarely,Rarely,Rarely,Sometimes,Sometimes,Often,Rarely,Never,,4,4,24501A4408,
3/16/2026 14:05:30,P.HEMA VENKATA RAMANA,II,Data Science,Never,Never,Never,Never,Sometimes,Often,Sometimes,Never,,4,5,24501A4409,
3/16/2026 14:07:47,P.HEMAVENKATA RAMANA,II,Data Science,Never,Sometimes,Never,Rarely,Sometimes,Often,Never,Never,,5,5,24501A4411,
3/16/2026 14:10:40,P.HEMA VENKATA RAMANA,II,Data Science,Never,Never,Never,Never,Never,Often,Rarely,Never,,5,5,24501A4412,
3/16/2026 14:12:36,P.HEMA VENKATA RAMANA,II,Data Science,Rarely,Sometimes,Never,Sometimes,Sometimes,Sometimes,Rarely,Never,,5,4,24501A4413,
3/16/2026 14:13:58,P.HEMA VENKATA RAMANA,II,Data Science,Never,Never,Never,Never,Never,Often,Rarely,Never,,5,5,24501A4414,
3/16/2026 14:15:52,P.HEMA VENKATA RAMANA,II,Data Science,Often,Sometimes,Sometimes,Sometimes,Sometimes,Often,Rarely,Often,,2,3,24501A4415,
3/16/2026 14:17:49,P.HEMA VENKATA RAMANA,II,Data Science,Sometimes,Rarely,Never,Sometimes,Rarely,Often,Rarely,Never,,4,4,24501A4416,
3/16/2026 14:20:35,P HEMA VENKATA RAMANA,II,Data Science,Never,Never,Never,Never,Never,Sometimes,Rarely,Never,,5,5,24501A4417,
3/16/2026 14:25:06,P.HEMA VENKATA RAMANA,II,Data Science,Sometimes,Rarely,Rarely,Rarely,Sometimes,Often,Rarely,Never,,5,5,24501A4418,
3/16/2026 14:26:38,P.HEMA VENKATA RAMANA,II,Data Science,Never,Never,Never,Never,Rarely,Often,Rarely,Never,,5,5,24501A4419,
3/16/2026 14:30:11,P. HEMA VENKATA RAMANA,II,Data Science,Never,Never,Never,Never,Rarely,Often,Sometimes,Never,,5,5,24501A4420,
3/16/2026 14:34:42,P.HEMA VENKATA RAMANA,II,Data Science,Never,Never,Never,Never,Never,Often,Rarely,Never,,5,5,24501A4421,
3/16/2026 14:36:19,P. HEMA VENKATA RAMANA,II,Data Science,Rarely,Sometimes,Never,Rarely,Never,Often,Never,Never,,4,4,24501A4422,
3/16/2026 14:38:03,P HEMA VENKATA RAMANA,II,Data Science,Sometimes,Rarely,Never,Rarely,Rarely,Often,Never,Never,,3,3,24501A4423,
3/16/2026 14:39:44,P HEMA VENKATA RAMANA,II,Data Science,Never,Never,Never,Never,Never,Often,Rarely,Never,,5,5,24501A4424,
3/16/2026 14:42:32,P.HEMA VENKATA RAMANA,II,Data Science,Never,Rarely,Never,Rarely,Never,Often,Never,Never,,4,4,24501A4425,
3/16/2026 16:11:45,Gayatri,III,AIML,Never,Never,Never,Never,Never,Very Often,Very Often,Never,,5,5,23501A4253,
3/16/2026 16:23:12,N. Susmitha,III,AIML,Rarely,Never,Never,Never,Never,Very Often,Very Often,Rarely,,5,4,23501A4201,
3/16/2026 18:18:54,T. Deepa,III,AIML,Sometimes,Sometimes,Rarely,Rarely,Never,Sometimes,Rarely,Sometimes,,3,3,23501A4225,
3/16/2026 18:20:32,T. Deepa,III,AIML,Sometimes,Rarely,Often,Sometimes,Never,Rarely,Rarely,Often,,3,3,23501A4226,
3/16/2026 18:22:27,T. Deepa,III,AIML,Sometimes,Rarely,Never,Never,Never,Rarely,Rarely,Rarely,,3,3,23501A4227,
3/16/2026 18:25:03,T. Deepa,III,AIML,Often,Often,Often,Rarely,Rarely,Never,Rarely,Sometimes,,3,3,23501A4229,
3/16/2026 18:27:13,T. Deepa,III,AIML,Rarely,Rarely,Never,Never,Never,Rarely,Sometimes,Never,,4,4,23501A4230,
3/16/2026 18:33:45,T. Deepa,III,AIML,Rarely,Sometimes,Never,Never,Rarely,Rarely,Sometimes,Never,,5,5,23501A4231,
3/16/2026 18:35:15,T. Deepa,III,AIML,Rarely,Rarely,Never,Never,Never,Sometimes,Sometimes,Never,,5,4,23501A4232,
3/16/2026 18:45:44,T. Deepa,III,AIML,Rarely,Rarely,Rarely,Never,Never,Rarely,Sometimes,Never,,4,4,23501A4233,
3/16/2026 18:47:23,T. Deepa,III,AIML,Sometimes,Sometimes,Often,Rarely,Never,Never,Rarely,Sometimes,,2,2,23501A4234,
3/16/2026 19:41:35,T. Deepa,III,AIML,Sometimes,Sometimes,Never,Never,Rarely,Rarely,Sometimes,Rarely,,3,3,23501A4235,
3/16/2026 19:46:12,T. Deepa,III,AIML,Never,Rarely,Never,Never,Never,Sometimes,Often,Never,,4,5,23501A4236,
3/16/2026 19:48:26,T. Deepa,III,AIML,Rarely,Never,Never,Never,Rarely,Sometimes,Sometimes,Rarely,,4,5,23501A4237,
3/16/2026 19:50:39,T. Deepa,III,AIML,Sometimes,Sometimes,Rarely,Never,Never,Rarely,Sometimes,Never,,3,3,23501A4238,
3/16/2026 19:51:50,T. Deepa,III,AIML,Rarely,Rarely,Never,Rarely,Never,Sometimes,Often,Never,,4,4,23501A4240,
3/16/2026 21:06:30,T. Deepa,III,AIML,Rarely,Rarely,Never,Never,Never,Sometimes,Often,Rarely,,4,4,23501A4241,
3/16/2026 21:23:13,T. Deepa,III,AIML,Never,Rarely,Never,Rarely,Rarely,Sometimes,Rarely,Never,,5,4,23501A4242,
3/16/2026 21:27:17,T. Deepa,III,AIML,Never,Rarely,Never,Never,Never,Often,Often,Never,,5,5,23501A4243,
3/16/2026 21:28:49,T. Deepa,III,AIML,Sometimes,Rarely,Rarely,Never,Never,Rarely,Sometimes,Never,,3,3,23501A4244,
3/16/2026 21:30:14,T. Deepa,III,AIML,Sometimes,Rarely,Sometimes,Rarely,Never,Rarely,Rarely,Sometimes,,2,3,23501A4245,
3/16/2026 21:31:20,T. Deepa,III,AIML,Never,Never,Never,Never,Never,Sometimes,Often,Rarely,,5,5,23501A4246,
3/16/2026 21:33:46,T. Deepa,III,AIML,Rarely,Rarely,Never,Never,Never,Sometimes,Rarely,Never,,4,4,23501A4247,
3/16/2026 21:37:29,T. Deepa,III,AIML,Sometimes,Never,Never,Rarely,Rarely,Rarely,Sometimes,Never,,3,3,23501A4248,
3/16/2026 21:39:27,T. Deepa,III,AIML,Rarely,Rarely,Never,Never,Never,Sometimes,Often,Never,,4,4,23501A4249,
3/16/2026 21:47:07,T. Deepa,III,AIML,Never,Rarely,Never,Never,Never,Sometimes,Often,Never,,4,5,23501A4250,
3/18/2026 14:29:31,Hafeena Mohammad ,III,Data Science,Rarely,Rarely,Very Often,Never,Never,Sometimes,Sometimes,Sometimes,,3,4,23501A4425,
3/18/2026 14:32:52,Hafeena Mohammad ,III,Data Science,Sometimes,Rarely,Often,Rarely,Sometimes,Never,Rarely,Often,,3,3,23501A4426,
3/18/2026 14:41:56,Hafeena Mohammad ,III,Data Science,Never,Never,Never,Never,Never,Sometimes,Sometimes,Rarely,,4,5,23501A4427,
3/18/2026 14:52:52,Hafeena Mohammad ,III,Data Science,Never,Never,Never,Never,Never,Rarely,Rarely,Rarely,,4,4,24501A4428,
3/18/2026 22:13:51,K.S.S.NARAYANA,IV,AIML,Never,Never,Never,Never,Never,Sometimes,Rarely,Never,,5,5,22501A4201,
3/20/2026 23:17:39,K.S.S.NARAYANA,IV,AIML,Never,Never,Never,Never,Never,Very Often,Sometimes,Never,,5,5,22501A4202,
3/21/2026 13:40:06,M.Sri Lakshmi Vani,III,Data Science,Never,Never,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Never,,5,4,23501A4401,
3/21/2026 13:41:50,M.Sri Lakshmi Vani,III,Data Science,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Never,,4,4,23501A4402,
3/21/2026 13:43:39,M.Sri Lakshmi Vani,III,Data Science,Sometimes,Never,Very Often,Sometimes,Never,Never,Sometimes,Very Often,,3,4,23501A4403,
3/21/2026 13:44:50,M.Sri Lakshmi Vani,III,Data Science,Very Often,Sometimes,Never,Sometimes,Sometimes,Rarely,Never,Never,,3,3,23501A4404,
3/21/2026 13:46:11,M.Sri Lakshmi Vani,III,Data Science,Never,Never,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,,4,5,23501A4405,
3/21/2026 13:47:43,M.Sri Lakshmi Vani,III,Data Science,Rarely,Rarely,Rarely,Never,Often,Sometimes,Sometimes,Often,,5,5,23501A4406,
3/21/2026 13:49:11,M.Sri Lakshmi Vani,III,Data Science,Often,Sometimes,Very Often,Often,Sometimes,Sometimes,Rarely,Very Often,,3,3,23501A4407,
3/21/2026 13:50:22,M.Sri Lakshmi Vani,III,Data Science,Sometimes,Sometimes,Sometimes,Often,Often,Sometimes,Sometimes,Sometimes,,3,4,23501A4408,
3/21/2026 13:51:44,M.Sri Lakshmi Vani,III,Data Science,Sometimes,Sometimes,Rarely,Often,Sometimes,Sometimes,Sometimes,Never,,4,4,23501A4409,
3/21/2026 13:52:52,M.Sri Lakshmi Vani,III,Data Science,Never,Never,Rarely,Sometimes,Often,Sometimes,Sometimes,Sometimes,,5,4,23501A4410,
3/21/2026 13:53:55,M.Sri Lakshmi Vani,III,Data Science,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,,5,5,23501A4411,
3/21/2026 14:02:59,M.Sri Lakshmi Vani,III,Data Science,Sometimes,Sometimes,Very Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,,5,5,23501A4412,
3/21/2026 14:04:00,M.Sri Lakshmi Vani,III,Data Science,Sometimes,Sometimes,Sometimes,Often,Often,Sometimes,Sometimes,Sometimes,,4,4,23501A4413,
3/21/2026 14:04:53,M.Sri Lakshmi Vani,III,Data Science,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Often,Sometimes,,4,4,23501A4414,
3/21/2026 14:08:50,M.Sri Lakshmi Vani,III,Data Science,Sometimes,Sometimes,Sometimes,Often,Often,Rarely,Rarely,Sometimes,,5,5,23501A4415,
3/21/2026 14:10:06,M.Sri Lakshmi Vani,III,Data Science,Often,Often,Sometimes,Sometimes,Often,Rarely,Sometimes,Sometimes,,3,4,23501A4416,
3/21/2026 14:11:05,M.Sri Lakshmi Vani,III,Data Science,Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,,5,5,23501A4418,
3/21/2026 14:11:59,M.Sri Lakshmi Vani,III,Data Science,Sometimes,Sometimes,Rarely,Rarely,Rarely,Sometimes,Rarely,Sometimes,,4,4,23501A4419,
3/21/2026 14:22:25,M.Sri Lakshmi Vani,III,Data Science,Sometimes,Rarely,Sometimes,Often,Often,Sometimes,Sometimes,Sometimes,,5,4,23501A4420,
3/21/2026 14:23:28,M.Sri Lakshmi Vani,III,Data Science,Often,Often,Rarely,Sometimes,Often,Rarely,Sometimes,Never,,4,4,23501A4421,
3/21/2026 14:24:16,M.Sri Lakshmi Vani,III,Data Science,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,,5,4,23501A4422,
3/21/2026 14:27:32,M.Sri Lakshmi Vani,III,Data Science,Never,Never,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,,5,5,23501A4423,
3/21/2026 14:28:23,M.Sri Lakshmi Vani,III,Data Science,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,,3,4,23501A4424,
3/21/2026 14:39:51,Mounika,IV,Data Science,Never,Often,Never,Never,Never,Never,Sometimes,Rarely,,5,5,22501A4401,
3/21/2026 14:42:49,mounika,IV,Data Science,Rarely,Often,Sometimes,Rarely,Never,Sometimes,Sometimes,Sometimes,,4,4,22501A4402,
3/21/2026 14:54:52, Mounika,IV,Data Science,Never,Often,Rarely,Never,Never,Often,Often,Sometimes,,4,4,22501A4403,
3/21/2026 15:00:15,Mounika,IV,Data Science,Never,Never,Never,Never,Never,Sometimes,Never,Very Often,,5,5,22501A4404,
3/21/2026 15:01:19,Mounika,IV,Data Science,Never,Never,Never,Never,Never,Never,Never,Never,,5,5,22501A4405,
3/21/2026 15:02:46,Mounika,IV,Data Science,Never,Never,Often,Never,Often,Never,Never,Never,,5,5,22501A4406,
3/21/2026 15:04:17,Mounika,IV,Data Science,Never,Never,Never,Never,Never,Very Often,Sometimes,Never,,5,5,22501A4407,
3/21/2026 15:05:42,Mounika,IV,Data Science,Never,Never,Never,Never,Never,Rarely,Never,Never,,5,5,22501A4408,
3/21/2026 15:07:22,Mounika,IV,Data Science,Never,Never,Never,Sometimes,Rarely,Never,Never,Rarely,,4,4,22501A4409,
3/21/2026 15:11:24,Mounika,IV,Data Science,Never,Never,Never,Sometimes,Never,Never,Never,Never,,4,4,22501A4410,
3/21/2026 15:16:58,Mounika,IV,Data Science,Never,Never,Never,Never,Never,Never,Never,Never,,5,5,22501A4411,
3/21/2026 15:18:42,Mounika,IV,Data Science,Never,Never,Never,Never,Never,Never,Often,Never,,4,5,22501A4412,
